date,electric_production
01-01-1939,3.3842
01-02-1939,3.41
01-03-1939,3.4875
01-04-1939,3.5133
01-05-1939,3.5133
01-06-1939,3.565
01-07-1939,3.565
01-08-1939,3.6167
01-09-1939,3.72
01-10-1939,3.72
01-11-1939,3.7458
01-12-1939,3.7458
01-01-1940,3.7717
01-02-1940,3.8233
01-03-1940,3.8492
01-04-1940,3.8492
01-05-1940,3.875
01-06-1940,3.9267
01-07-1940,3.9267
01-08-1940,3.9783
01-09-1940,4.03
01-10-1940,4.0558
01-11-1940,4.1592
01-12-1940,4.1592
01-01-1941,4.185
01-02-1941,4.2367
01-03-1941,4.2883
01-04-1941,4.34
01-05-1941,4.3658
01-06-1941,4.4433
01-07-1941,4.495
01-08-1941,4.5467
01-09-1941,4.5725
01-10-1941,4.5983
01-11-1941,4.65
01-12-1941,4.7533
01-01-1942,4.805
01-02-1942,4.8567
01-03-1942,4.8825
01-04-1942,4.8825
01-05-1942,4.8825
01-06-1942,4.9084
01-07-1942,5.0633
01-08-1942,5.0892
01-09-1942,5.115
01-10-1942,5.115
01-11-1942,5.1925
01-12-1942,5.27
01-01-1943,5.2184
01-02-1943,5.2959
01-03-1943,5.3217
01-04-1943,5.3992
01-05-1943,5.425
01-06-1943,5.5284
01-07-1943,5.58
01-08-1943,5.6059
01-09-1943,5.7092
01-10-1943,5.7092
01-11-1943,5.7867
01-12-1943,5.7867
01-01-1944,5.735
01-02-1944,5.8125
01-03-1944,5.9159
01-04-1944,5.9417
01-05-1944,5.9417
01-06-1944,5.9417
01-07-1944,5.89
01-08-1944,5.9159
01-09-1944,5.89
01-10-1944,5.8383
01-11-1944,5.89
01-12-1944,5.9159
01-01-1945,6.0192
01-02-1945,6.0192
01-03-1945,5.9934
01-04-1945,5.9934
01-05-1945,6.045
01-06-1945,6.1225
01-07-1945,6.0967
01-08-1945,5.9934
01-09-1945,5.89
01-10-1945,5.8383
01-11-1945,5.89
01-12-1945,5.9417
01-01-1946,5.9417
01-02-1946,5.9417
